,Field_code,hld_id,hld_farm
3342,AN5,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3343,AN41,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3344,AN40,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3345,AN4,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3346,AN39,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3347,AN38,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3348,AN37,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3349,AN36,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3350,AN35,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3351,AN32,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3352,AN31,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3353,AN30,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3354,AN3,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3355,AN29,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3356,AN28,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3357,AN27,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3358,AN26,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3359,AN25,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3360,AN23,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3361,AN22,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3362,AN21,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3363,AN20,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3364,AN2,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3365,AN19,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3366,AN18,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3367,AN17,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3368,AN16,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3369,AN14,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3370,AN12,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3371,AN1,185,"ARDNAVE, KILNAVE & GARREALLABUS"
3372,AL9,155,GARTBREK
3373,AL8,155,GARTBREK
3374,AL7,155,GARTBREK
3375,AL6,155,GARTBREK
3376,AL5,155,GARTBREK
3377,AL4,155,GARTBREK
3378,AL3,155,GARTBREK
3379,AL21,160,LAGGAN
3380,AL20,155,GARTBREK
3381,AL2,155,GARTBREK
3382,AL19,155,GARTBREK
3383,AL18,226,SUPERHOLDING
3384,AL17,226,SUPERHOLDING
3385,AL16,226,SUPERHOLDING
3386,AL15,153,ARDLARACH
3387,AL14,155,GARTBREK
3388,AL13,155,GARTBREK
3389,AL12,155,GARTBREK
3390,AL11,155,GARTBREK
3391,AL10,155,GARTBREK
3392,AL1,155,GARTBREK
3393,AB9,126,CALLUMKILL
3394,AB7,130,ARDBEG & LAGAVULIN FARM
3395,AB6,130,ARDBEG & LAGAVULIN FARM
3396,AB5,130,ARDBEG & LAGAVULIN FARM
3397,AB43,130,ARDBEG & LAGAVULIN FARM
3398,AB42,130,ARDBEG & LAGAVULIN FARM
3399,AB41,172,SUPERHOLDING
3400,AB4,130,ARDBEG & LAGAVULIN FARM
3401,AB39,130,ARDBEG & LAGAVULIN FARM
3402,AB38,130,ARDBEG & LAGAVULIN FARM
3403,AB37,130,ARDBEG & LAGAVULIN FARM
3404,AB36,130,ARDBEG & LAGAVULIN FARM
3405,AB35,126,CALLUMKILL
3406,AB34,126,CALLUMKILL
3407,AB33,130,ARDBEG & LAGAVULIN FARM
3408,AB32,126,CALLUMKILL
3409,AB31,126,CALLUMKILL
3410,AB30,130,ARDBEG & LAGAVULIN FARM
3411,AB3,130,ARDBEG & LAGAVULIN FARM
3412,AB29,130,ARDBEG & LAGAVULIN FARM
3413,AB28,130,ARDBEG & LAGAVULIN FARM
3414,AB2,130,ARDBEG & LAGAVULIN FARM
3415,AB16,113,STRONDHU & ARDIMERSAY
3416,AB15,113,STRONDHU & ARDIMERSAY
3417,AB14,113,STRONDHU & ARDIMERSAY
3418,AB13,130,ARDBEG & LAGAVULIN FARM
3419,AB12,172,SUPERHOLDING
3420,AB11,172,SUPERHOLDING
3421,AB10,91,ARDTALLA
3422,AB1,172,SUPERHOLDING
