"","X.1","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gbg_dist_points"
"151",151,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,247.268144219998
"152",152,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,126.806973484557
"153",153,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,113.615693248191
"154",154,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,71.5901207421742
"155",155,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,66.6379405868008
"156",156,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,241.489137029282
"157",157,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,205.00822104408
"158",158,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,193.190241744078
"159",159,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,251.396202198966
"160",160,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,264.323718467749
"161",161,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,322.576142539932
"162",162,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,282.723020569716
"163",163,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,90.4180995707067
"164",164,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,201.494463255057
"165",165,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,298.498345457724
"166",166,"194248",2019,"post","3",TRUE,"arable_hort",1,1,"Used",10,209.262153411717
"167",167,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,381.65513892879
"168",168,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,316.464789314263
"169",169,"194248",2019,"post","10",TRUE,"other_grassland",1,1,"Used",10,319.655536118609
"170",170,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,415.535691159493
"171",171,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,459.037830704632
"172",172,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,446.818918528745
"173",173,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,355.150381214644
"174",174,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,367.06238556521
"175",175,"194248",2019,"post","4",TRUE,"improved_grassland",1,1,"Used",10,264.913266212281
