"","Device_ID","Winter","PP_Shoot","Habitat","case_","ceh_broad","Case","weight","Used","weight2","gwf_dist_points"
"6275","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2960.56818003802
"6276","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,556.978047916416
"6277","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,432.784544006105
"6278","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1452.25073165967
"6279","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1153.11373440975
"6280","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1265.35851294252
"6281","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,681.01674318548
"6282","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,192.08427212034
"6283","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,95.2380753506132
"6284","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,2948.88565320191
"6285","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,799.690079614981
"6286","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1459.23681778332
"6287","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,166.14030934026
"6288","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,110.62678867813
"6289","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,434.384149204933
"6290","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,131.683214833016
"6291","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1082.0105800875
"6292","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,695.319099055836
"6293","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3681.83158521475
"6294","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2889.28926342211
"6295","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,369.315208537941
"6296","171211",2018,"post","1",FALSE,"other",0,1,"Avail",1,975.879744031732
"6297","171211",2018,"post","19",FALSE,"saltmarsh_coastal",0,1,"Avail",1,234.156009882271
"6298","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,120.506018981615
"6299","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,467.419196465964
"6300","171211",2018,"post","14",FALSE,"freshwater",0,1,"Avail",1,1073.89851451188
"6301","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,1155.35773690226
"6302","171211",2018,"post","18",FALSE,"saltmarsh_coastal",0,1,"Avail",1,389.651662325566
"6303","171211",2018,"post","3",FALSE,"arable_hort",0,1,"Avail",1,175.570715434872
"6304","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2171.19422141967
"6305","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1151.66421577246
"6306","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,128.050426411697
"6307","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3636.65085541617
"6308","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2315.0206783924
"6309","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,985.852842590789
"6310","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,813.062520165137
"6311","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3024.84283417081
"6312","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,329.590078832115
"6313","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3336.34811944561
"6314","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,204.787500829082
"6315","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,247.159396019261
"6316","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,1358.67281285947
"6317","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,567.786300454878
"6318","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,558.063507195498
"6319","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,705.484179599541
"6320","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,85.0325894921154
"6321","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,4492.93207260451
"6322","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1835.80066303598
"6323","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,1209.06950766253
"6324","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,303.614254770568
"6325","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,250.62843850029
"6326","171211",2018,"post","14",FALSE,"freshwater",0,1,"Avail",1,467.99417211557
"6327","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,1636.62473325352
"6328","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2311.53299448983
"6329","171211",2018,"post","2",FALSE,"other",0,1,"Avail",1,106.734191951603
"6330","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,2366.84819093321
"6331","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,926.193635705065
"6332","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,148.292371371505
"6333","171211",2018,"post","10",FALSE,"other_grassland",0,1,"Avail",1,189.070159579794
"6334","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,59.0413375715216
"6335","171211",2018,"post","1",FALSE,"other",0,1,"Avail",1,628.129666314699
"6336","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,108.748824557802
"6337","171211",2018,"post","check",FALSE,"other",0,1,"Avail",1,3742.0539930736
"6338","171211",2018,"post","4",FALSE,"improved_grassland",0,1,"Avail",1,510.983691885513
"6339","171211",2018,"post","16",FALSE,"saltmarsh_coastal",0,1,"Avail",1,932.380829816364
"6340","171211",2018,"post","11",FALSE,"bog",0,1,"Avail",1,741.474958089125
