"","bird_trips","birdID","totaldist","daydist","Device_ID","UTC_Date","Species","Month","Year","Winter","Disturbance","Total_fixes","year_day","fix_gps","Raw_Farm_Name","Shoot_field","mode_hld_farm","shoot_date","totaldist_log","events_total","shoot_freq","indiv_dist","Disturbance2","shoot_date_sc","events_total_sc","shoot_freq_sc","indiv_dist_sc","Sex","Tag_Winter","Disturbance_shoot"
"35","BARN13_25/02/2020","BARN13",7.8160187394843,NA,"BARN13",2020-02-25,"GBG",2,2020,"2019",0,11,56,NA,NA,"No","CRAIGENS & CORSAPOL",116,2.05617531231748,428,2.37777777777778,0,"No_Shoot",0.157432529445762,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"36","BARN13_26/02/2020","BARN13",1.21764755196707,NA,"BARN13",2020-02-26,"GBG",2,2020,"2019",0,11,57,NA,NA,"No","SI.AORADH",117,0.196920761212135,428,2.37777777777778,0,"No_Shoot",0.179331194424538,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"37","BARN13_27/02/2020","BARN13",2.02371977050817,NA,"BARN13",2020-02-27,"GBG",2,2020,"2019",0,11,58,NA,NA,"No","SI.AORADH",118,0.704937288533433,428,2.37777777777778,0,"No_Shoot",0.201229859403315,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"38","BARN13_28/02/2020","BARN13",8.21662905016431,NA,"BARN13",2020-02-28,"GBG",2,2020,"2019",0,11,59,NA,NA,"No","CRAIGENS & CORSAPOL",119,2.1061600337368,428,2.37777777777778,0,"No_Shoot",0.223128524382091,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"39","BARN13_29/02/2020","BARN13",1.77400527099094,NA,"BARN13",2020-02-29,"GBG",2,2020,"2019",0,11,60,NA,NA,"No","SI.AORADH",120,0.573239855129276,428,2.37777777777778,0,"No_Shoot",0.245027189360868,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"40","BARN13_01/03/2020","BARN13",0.917780366359045,NA,"BARN13",2020-03-01,"GBG",3,2020,"2019",0,11,61,NA,NA,"No","SI.AORADH",121,-0.0857971693192463,428,2.37777777777778,0,"No_Shoot",0.266925854339644,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"41","BARN13_02/03/2020","BARN13",2.4953372631317,NA,"BARN13",2020-03-02,"GBG",3,2020,"2019",0,11,62,NA,NA,"No","SI.AORADH",122,0.91442389567197,428,2.37777777777778,0,"No_Shoot",0.288824519318421,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"42","BARN13_03/03/2020","BARN13",2.36134522058971,NA,"BARN13",2020-03-03,"GBG",3,2020,"2019",0,11,63,NA,NA,"No","SI.AORADH",123,0.859231465368705,428,2.37777777777778,0,"No_Shoot",0.310723184297197,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"43","BARN13_04/03/2020","BARN13",3.74895311571685,NA,"BARN13",2020-03-04,"GBG",3,2020,"2019",0,11,64,NA,NA,"No","SI.AORADH",124,1.32147663186519,428,2.37777777777778,0,"No_Shoot",0.332621849275974,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"44","BARN13_05/03/2020","BARN13",3.61464904845424,NA,"BARN13",2020-03-05,"GBG",3,2020,"2019",0,11,65,NA,NA,"No","SI.AORADH",125,1.28499476886594,428,2.37777777777778,0,"No_Shoot",0.35452051425475,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"45","BARN13_06/03/2020","BARN13",6.79095345011449,NA,"BARN13",2020-03-06,"GBG",3,2020,"2019",0,11,66,NA,NA,"No","COULL1",126,1.91559135146444,428,2.37777777777778,0,"No_Shoot",0.376419179233527,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"46","BARN13_07/03/2020","BARN13",3.55661410863161,NA,"BARN13",2020-03-07,"GBG",3,2020,"2019",0,12,67,NA,NA,"No","COULL1",127,1.26880899920692,428,2.37777777777778,0,"No_Shoot",0.398317844212303,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"47","BARN13_08/03/2020","BARN13",2.05450265688873,NA,"BARN13",2020-03-08,"GBG",3,2020,"2019",0,13,68,NA,NA,"No","COULL1",128,0.72003380254503,428,2.37777777777778,0,"No_Shoot",0.42021650919108,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"48","BARN13_09/03/2020","BARN13",3.11349898678484,NA,"BARN13",2020-03-09,"GBG",3,2020,"2019",0,13,69,NA,NA,"No","COULL1",129,1.1357471699039,428,2.37777777777778,0,"No_Shoot",0.442115174169856,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"49","BARN13_10/03/2020","BARN13",3.57835512842321,NA,"BARN13",2020-03-10,"GBG",3,2020,"2019",0,13,70,NA,NA,"No","COULL1",130,1.27490323349361,428,2.37777777777778,0,"No_Shoot",0.464013839148633,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
"50","BARN13_11/03/2020","BARN13",3.08253428251286,NA,"BARN13",2020-03-11,"GBG",3,2020,"2019",0,13,71,NA,NA,"No","COULL1",131,1.12575207765319,428,2.37777777777778,0,"No_Shoot",0.485912504127409,-0.235862727415038,-0.235862727415038,-0.657227187435467,"M","BARN13_2019","1"
