"","Date_ID","spatial_overlap","Raw_Farm_Name","FIELD_ID","fix_gps","Shoot_ID1","Shoot_ID2","Shoot_ID1_time","Shoot_ID2_time","Shoot_ID1_shots","Shoot_ID2_shots","Shoot_field"
"133","BARN07_18/01/2021",1,"carrabus","MC7","MC1",581,NA,2021-01-18 12:05:00,NA,1,NA,"No"
"134","194245_18/01/2021",1,"carrabus","MC7","MC1",581,NA,2021-01-18 12:05:00,NA,1,NA,"No"
"135","194246_19/01/2021",1,"eorrabus","EO3","EK4",588,NA,2021-01-19 14:15:00,NA,1,NA,"No"
"136","194244_28/01/2021",1,"blackrock","US2","US4",607,NA,2021-01-28 12:40:00,NA,24,NA,"No"
"137","194246_28/01/2021",1,"blackrock","US2","US4",607,NA,2021-01-28 12:40:00,NA,24,NA,"No"
"138","194245_02/02/2021",1,"craigens","CP51","CP9",614,NA,2021-02-02 11:55:00,NA,4,NA,"No"
"139","194245_02/02/2021",1,"craigens","CP5","CP8",615,NA,2021-02-02 12:25:00,NA,1,NA,"No"
"140","194241_04/02/2021",1,"craigens","CP9","CP14",617,618,2021-02-04 13:25:00,2021-02-04 13:25:00,1,10,"No"
"141","194245_04/02/2021",1,"craigens","CP9","CP14",617,618,2021-02-04 13:25:00,2021-02-04 13:25:00,1,10,"No"
"142","194241_04/02/2021",1,"craigens","CP9","CP11",617,618,2021-02-04 13:25:00,2021-02-04 13:25:00,1,10,"No"
"143","194245_04/02/2021",1,"craigens","CP9","CP11",617,618,2021-02-04 13:25:00,2021-02-04 13:25:00,1,10,"No"
"144","194243_06/02/2021",1,"craigens","CP5","CP9",622,NA,2021-02-06 11:50:00,NA,16,NA,"No"
"145","194244_11/02/2021",1,"blackrock","US2","US2",635,NA,2021-02-11 16:16:00,NA,8,NA,"Yes"
"146","194241_12/02/2021",1,"ballinaby","BB7","BB23",637,NA,2021-02-12 10:20:00,NA,16,NA,"No"
"147","194247_03/03/2021",1,"ronnachmore","RM16","RM23",674,NA,2021-03-03 12:40:00,NA,10,NA,"No"
"148","194247_03/03/2021",1,"ronnachmore","RM16","RM31",674,NA,2021-03-03 12:40:00,NA,10,NA,"No"
"149","194248_08/03/2021",1,"craigens","CP19","CP10",690,NA,2021-03-08 16:00:00,NA,1,NA,"No"
"150","194249_08/03/2021",1,"craigens","CP19","AO85",690,NA,2021-03-08 16:00:00,NA,1,NA,"No"
"151","194242_10/03/2021",1,"blackrock","US2","US2",700,NA,2021-03-10 13:55:00,NA,12,NA,"Yes"
"152","194248_11/03/2021",1,"craigens","CP51","AO32",702,NA,2021-03-11 11:25:00,NA,3,NA,"No"
"153","194247_11/03/2021",1,"craigens","CP51","CP5",702,NA,2021-03-11 11:25:00,NA,3,NA,"No"
"154","194248_11/03/2021",1,"craigens","CP51","AO33",702,NA,2021-03-11 11:25:00,NA,3,NA,"No"
"155","194242_12/03/2021",1,"eorrabus","EO24","EO2",706,NA,2021-03-12 13:55:00,NA,18,NA,"No"
"156","194244_18/03/2021",1,"brybruich","BH34","BH38",715,NA,2021-03-18 16:10:00,NA,2,NA,"No"
"157","194248_22/03/2021",1,"craigens","CP9","CP7",723,NA,2021-03-22 12:00:00,NA,1,NA,"No"
"158","194248_22/03/2021",1,"craigens","CP9","CP9",723,NA,2021-03-22 12:00:00,NA,1,NA,"Yes"
"159","194247_22/03/2021",1,"craigens","CP9","CP12",723,NA,2021-03-22 12:00:00,NA,1,NA,"No"
"160","194248_22/03/2021",1,"craigens","CP9","CP2",723,NA,2021-03-22 12:00:00,NA,1,NA,"No"
